ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	LargerThanFive	SmallerThanFive	FontStyle	TrialsPerRun	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.StartTime	IntroButtonMap.OffsetTime	IntroButtonMap.FinishTime	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.StartTime	GetReady.OffsetTime	GetReady.FinishTime	GetReady.OnsetToOnsetTime	Number_of_NonResponses	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure[Block]	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running[Block]	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Block	Procedure[Trial]	Run1List	R1MostlyReward1	TrialType	Running[Trial]	Run1List.Cycle	Run1List.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSmallerGuesses	ConsecLargerGuesses	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	QuestionMark.OnsetDelay	QuestionMark.OnsetTime	QuestionMark.DurationError	QuestionMark.RTTime	QuestionMark.ACC	QuestionMark.RT	QuestionMark.RESP	QuestionMark.CRESP	QuestionMark.OnsetToOnsetTime	ConsecSameResp	FeedbackImage	FeedbackNumber	FillerFixation.OnsetDelay	FillerFixation.OnsetTime	FillerFixation.DurationError	FillerFixation.OnsetToOnsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.DurationError	Feedback.OnsetToOnsetTime	OneSecFixation.OnsetDelay	OneSecFixation.OnsetTime	OneSecFixation.DurationError	OneSecFixation.OnsetToOnsetTime	TooSlowFeedback.OnsetDelay	TooSlowFeedback.OnsetTime	TooSlowFeedback.DurationError	TooSlowFeedback.OnsetToOnsetTime	FifteenSecFixation.OnsetDelay	FifteenSecFixation.OnsetTime	FifteenSecFixation.DurationError	FifteenSecFixation.OnsetToOnsetTime	R1MostlyPunishment1	R1MostlyPunishment3	R1MostlyReward2	Trial
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0	1	InitialTR	4	1	1	ReadyList	12	19218	-13	21205	0					1																																																					
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0	2	InitialTR	3	1	2	ReadyList	11	21217	-12	23205	0					2																																																					
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0	3	InitialTR	2	1	3	ReadyList	10	23216	-11	25205	0					3																																																					
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0	4	InitialTR	1	1	4	ReadyList	9	25215	-10	27205	0					4																																																					
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			2	1	0	0	1	0	55	27841	3	13	27	27281	-999999	27771	0	490	2	""	0	1	red_arrow.jpg	6	13	27854	-14	1000	3	28854	-4	1013	16	29867	-17	0	0	0	0	0								1
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			3	2	0	0	2	0	44	31293	2	14	13	30906	-999999	31239	0	333	2	""	0	2	red_arrow.jpg	8	14	31307	-15	1158	5	32465	-6	1000	5	33465	-6	0	0	0	0	0								2
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			4	3	0	0	3	0	42	35238	1	13	13	34518	-999999	35188	0	670	2	""	0	3	green_arrow.jpg	2	13	35251	-14	826	9	36077	-10	1000	9	37077	-10	0	0	0	0	0								3
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			5	4	0	0	0	1	39	38729	2	14	14	38130	-999999	38686	0	556	3	""	0	1	red_arrow.jpg	4	14	38743	-15	933	3	39676	-4	1000	3	40676	-4	0	0	0	0	0								4
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			6	5	0	0	1	0	47	42075	1	13	13	41728	-999999	42027	0	299	2	""	0	1	green_arrow.jpg	4	13	42088	-14	1200	12	43288	-13	1000	12	44288	-13	0	0	0	0	0								5
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			7	6	0	0	0	1	43	45940	1	14	13	45340	-999999	45895	0	555	3	""	0	1	red_arrow.jpg	3	14	45954	-15	932	1	46886	-2	1013	14	47899	-15	0	0	0	0	0								6
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			8	7	0	0	1	0	40	49338	2	14	14	48939	-999999	49297	0	358	2	""	0	1	red_arrow.jpg	8	14	49352	-15	1133	5	50485	-6	1000	5	51485	-6	0	0	0	0	0								7
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			9	8	0	0	2	0	46	53057	1	14	13	52537	-999999	52996	0	459	2	""	0	2	red_arrow.jpg	6	14	53071	-15	1039	12	54110	-13	1000	12	55110	-13	0	0	0	0	0								8
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	FixationBlockPROC				Run2List																																									11	56109	-12	0				9
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			10	9	0	0	0	1	48	71996	1	13	13	71156	-999999	71947	0	791	3	""	0	1	green_arrow.jpg	9	13	72009	-14	706	10	72715	-11	1000	10	73715	-11	0	0	0	0	0								10
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Neutral	Run2List			11	10	0	0	0	2	48	75288	1	13	14	74768	-999999	75227	0	459	3	""	0	2	grey_doublearrow.jpg	5	13	75301	-14	1039	11	76340	-12	1000	11	77340	-12	0	0	0	0	0								11
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			12	11	0	0	0	3	51	79019	3	14	13	78393	-999999	78966	0	573	3	""	0	3	green_arrow.jpg	9	14	79033	-15	919	6	79952	-7	1000	6	80952	-7	0	0	0	0	0								12
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			13	12	0	0	0	4	39	82751	2	14	14	82005	-999999	82701	0	696	3	""	0	4	green_arrow.jpg	6	14	82765	-15	799	9	83564	-10	1000	9	84564	-10	0	0	0	0	0								13
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			14	13	0	0	0	5	48	86176	2	14	14	85617	-999999	86121	0	504	3	""	0	5	green_arrow.jpg	8	14	86190	-15	986	4	87176	-5	1000	4	88176	-5	0	0	0	0	0								14
GAMBLING080212	134425_fnca	2	1	1	-2047735986	1	75.032	75.032	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	6303	-999999	6267	6611	6611	0	39	6650	-999999	6633	19206	19206	0	0	13	202741	2	202728	14	27	202755	-999999	202744	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			15	14	0	0	1	0	40	89975	1	13	13	89228	-999999	89928	0	700	2	""	0	1	green_arrow.jpg	2	13	89988	-14	800	13	90788	-14	1000	13	91788	-14	0	0	0	0	0								15
