ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	LargerThanFive	SmallerThanFive	FontStyle	TrialsPerRun	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.StartTime	IntroButtonMap.OffsetTime	IntroButtonMap.FinishTime	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.StartTime	GetReady.OffsetTime	GetReady.FinishTime	GetReady.OnsetToOnsetTime	Number_of_NonResponses	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure[Block]	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running[Block]	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Block	Procedure[Trial]	Run1List	R1MostlyReward1	TrialType	Running[Trial]	Run1List.Cycle	Run1List.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSmallerGuesses	ConsecLargerGuesses	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	QuestionMark.OnsetDelay	QuestionMark.OnsetTime	QuestionMark.DurationError	QuestionMark.RTTime	QuestionMark.ACC	QuestionMark.RT	QuestionMark.RESP	QuestionMark.CRESP	QuestionMark.OnsetToOnsetTime	ConsecSameResp	FeedbackImage	FeedbackNumber	FillerFixation.OnsetDelay	FillerFixation.OnsetTime	FillerFixation.DurationError	FillerFixation.OnsetToOnsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.DurationError	Feedback.OnsetToOnsetTime	OneSecFixation.OnsetDelay	OneSecFixation.OnsetTime	OneSecFixation.DurationError	OneSecFixation.OnsetToOnsetTime	TooSlowFeedback.OnsetDelay	TooSlowFeedback.OnsetTime	TooSlowFeedback.DurationError	TooSlowFeedback.OnsetToOnsetTime	FifteenSecFixation.OnsetDelay	FifteenSecFixation.OnsetTime	FifteenSecFixation.DurationError	FifteenSecFixation.OnsetToOnsetTime	R1MostlyPunishment1	R1MostlyPunishment3	R1MostlyReward2	Trial
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0	1	InitialTR	4	1	1	ReadyList	19	48822	-20	50802	0					1																																																					
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0	2	InitialTR	3	1	2	ReadyList	18	50821	-19	52802	0					2																																																					
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0	3	InitialTR	2	1	3	ReadyList	4	52807	-5	54802	0					3																																																					
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0	4	InitialTR	1	1	4	ReadyList	4	54807	-5	56802	0					4																																																					
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	1	Reward	Run1List	1	1	2	1	0	0	0	1	50	57605	3	14	27	56886	-999999	57554	0	668	3	""	0	1	green_arrow.jpg	6	14	57619	-15	826	8	58445	-9	1013	21	59458	-22	0	0	0	0	0								1
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	2	Reward	Run1List	1	2	3	2	0	0	0	2	48	61550	3	14	14	60498	-999999	61497	0	999	3	""	0	2	green_arrow.jpg	8	14	61564	-15	493	6	62057	-7	1000	6	63057	-7	0	0	0	0	0								2
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	3	Punishment	Run1List	1	3	4	3	0	0	1	0	43	64789	3	14	13	64109	-999999	64736	0	627	2	""	0	1	red_arrow.jpg	7	14	64803	-15	866	7	65669	-8	1000	7	66669	-8	0	0	0	0	0								3
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	4	Reward	Run1List	1	4	5	4	0	0	0	1	49	68134	2	14	13	67721	-999999	68078	0	357	3	""	0	1	green_arrow.jpg	7	14	68148	-15	1133	4	69281	-5	1000	4	70281	-5	0	0	0	0	0								4
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	5	Reward	Run1List	1	5	6	5	0	0	0	2	49	72080	1	13	13	71333	-999999	72017	0	684	3	""	0	2	green_arrow.jpg	8	13	72093	-14	813	10	72906	-11	1000	10	73906	-11	0	0	0	0	0								5
GAMBLING080212	461743_fnca	1	1	1	-1988703595	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5773	-999999	5736	34129	34129	0	33	34162	-999999	34145	48803	48803	0	0	10	232362	2	232352	13	23	232375	-999999	232365	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	6	Reward	Run1List	1	6	7	6	0	0	1	0	40	75691	2	14	13	74958	-999999	75645	0	687	2	""	0	1	green_arrow.jpg	2	14	75705	-15	799	0	76504	-1	1014	14	77518	-15	0	0	0	0	0								6
