ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	LargerThanFive	SmallerThanFive	FontStyle	TrialsPerRun	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.StartTime	IntroButtonMap.OffsetTime	IntroButtonMap.FinishTime	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.StartTime	GetReady.OffsetTime	GetReady.FinishTime	GetReady.OnsetToOnsetTime	Number_of_NonResponses	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure[Block]	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running[Block]	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Block	Procedure[Trial]	Run1List	R1MostlyReward1	TrialType	Running[Trial]	Run1List.Cycle	Run1List.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSmallerGuesses	ConsecLargerGuesses	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	QuestionMark.OnsetDelay	QuestionMark.OnsetTime	QuestionMark.DurationError	QuestionMark.RTTime	QuestionMark.ACC	QuestionMark.RT	QuestionMark.RESP	QuestionMark.CRESP	QuestionMark.OnsetToOnsetTime	ConsecSameResp	FeedbackImage	FeedbackNumber	FillerFixation.OnsetDelay	FillerFixation.OnsetTime	FillerFixation.DurationError	FillerFixation.OnsetToOnsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.DurationError	Feedback.OnsetToOnsetTime	OneSecFixation.OnsetDelay	OneSecFixation.OnsetTime	OneSecFixation.DurationError	OneSecFixation.OnsetToOnsetTime	TooSlowFeedback.OnsetDelay	TooSlowFeedback.OnsetTime	TooSlowFeedback.DurationError	TooSlowFeedback.OnsetToOnsetTime	FifteenSecFixation.OnsetDelay	FifteenSecFixation.OnsetTime	FifteenSecFixation.DurationError	FifteenSecFixation.OnsetToOnsetTime	R1MostlyPunishment1	R1MostlyPunishment3	R1MostlyReward2	Trial
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0	1	InitialTR	4	1	1	ReadyList	10	21286	-11	23275	0					1																																																					
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0	2	InitialTR	3	1	2	ReadyList	9	23285	-10	25275	0					2																																																					
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0	3	InitialTR	2	1	3	ReadyList	9	25285	-10	27275	0					3																																																					
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0	4	InitialTR	1	1	4	ReadyList	8	27284	-9	29275	0					4																																																					
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			2	1	0	0	0	1	54	29816	3	14	27	29350	-999999	29749	0	399	3	""	0	1	red_arrow.jpg	4	14	29830	-15	1092	5	30922	-6	1014	19	31936	-20	0	0	0	0	0								1
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			3	2	0	0	1	0	43	33268	2	14	14	32975	-999999	33214	0	239	2	""	0	1	red_arrow.jpg	6	14	33282	-15	1252	5	34534	-6	1000	5	35534	-6	0	0	0	0	0								2
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			4	2	1	0	2	0	45	36827	1	13	14	36587	-999999	36772	0	185	2	""	0	2	green_arrow.jpg	1	13	36840	-14	1306	4	38146	-5	1000	4	39146	-5	0	0	0	0	0								3
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			5	3	0	0	0	1	43	40585	1	14	14	40199	-999999	40534	0	335	3	""	0	1	red_arrow.jpg	2	14	40599	-15	1159	8	41758	-9	1000	8	42758	-9	0	0	0	0	0								4
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			6	4	0	0	1	0	38	44090	2	14	13	43810	-999999	44037	0	227	2	""	0	1	green_arrow.jpg	4	14	44104	-15	1266	7	45370	-8	1000	7	46370	-8	0	0	0	0	0								5
GAMBLING080212	146331_fnca	2	1	1	888576252	1	75.031	75.029	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4946	-999999	4910	8013	8013	0	39	8052	-999999	8035	21276	21276	0	0	9	204840	2	204831	14	23	204854	-999999	204843	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			7	5	0	0	2	0	41	47836	2	13	13	47422	-999999	47795	0	373	2	""	0	2	red_arrow.jpg	7	13	47849	-14	1119	5	48968	-6	1000	5	49968	-6	0	0	0	0	0								6
