ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	LargerThanFive	SmallerThanFive	FontStyle	TrialsPerRun	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.StartTime	IntroButtonMap.OffsetTime	IntroButtonMap.FinishTime	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.StartTime	GetReady.OffsetTime	GetReady.FinishTime	GetReady.OnsetToOnsetTime	Number_of_NonResponses	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure[Block]	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running[Block]	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Block	Procedure[Trial]	Run1List	R1MostlyReward1	TrialType	Running[Trial]	Run1List.Cycle	Run1List.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSmallerGuesses	ConsecLargerGuesses	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	QuestionMark.OnsetDelay	QuestionMark.OnsetTime	QuestionMark.DurationError	QuestionMark.RTTime	QuestionMark.ACC	QuestionMark.RT	QuestionMark.RESP	QuestionMark.CRESP	QuestionMark.OnsetToOnsetTime	ConsecSameResp	FeedbackImage	FeedbackNumber	FillerFixation.OnsetDelay	FillerFixation.OnsetTime	FillerFixation.DurationError	FillerFixation.OnsetToOnsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.DurationError	Feedback.OnsetToOnsetTime	OneSecFixation.OnsetDelay	OneSecFixation.OnsetTime	OneSecFixation.DurationError	OneSecFixation.OnsetToOnsetTime	TooSlowFeedback.OnsetDelay	TooSlowFeedback.OnsetTime	TooSlowFeedback.DurationError	TooSlowFeedback.OnsetToOnsetTime	FifteenSecFixation.OnsetDelay	FifteenSecFixation.OnsetTime	FifteenSecFixation.DurationError	FifteenSecFixation.OnsetToOnsetTime	R1MostlyPunishment1	R1MostlyPunishment3	R1MostlyReward2	Trial
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0	1	InitialTR	4	1	1	ReadyList	14	23416	-15	25401	0					1																																																					
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0	2	InitialTR	3	1	2	ReadyList	13	25415	-14	27401	0					2																																																					
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0	3	InitialTR	2	1	3	ReadyList	12	27414	-13	29401	0					3																																																					
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0	4	InitialTR	1	1	4	ReadyList	11	29413	-12	31401	0					4																																																					
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			2	1	0	0	1	0	48	32092	3	14	27	31479	-999999	32041	0	562	2	""	0	1	red_arrow.jpg	6	14	32106	-15	933	9	33039	-10	1013	22	34052	-23	0	0	0	0	0								1
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			3	2	0	0	2	0	40	35344	3	14	13	35091	-999999	35303	0	212	2	""	0	2	red_arrow.jpg	9	14	35358	-15	1279	5	36637	-6	1000	5	37637	-6	0	0	0	0	0								2
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			4	3	0	0	3	0	44	38983	1	13	14	38690	-999999	38938	0	248	2	""	0	3	green_arrow.jpg	3	13	38996	-14	1240	1	40236	-2	1013	14	41249	-15	0	0	0	0	0								3
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			5	3	1	0	0	1	48	42528	2	14	13	42288	-999999	42471	0	183	3	""	0	1	red_arrow.jpg	3	14	42542	-15	1306	3	43848	-4	1000	3	44848	-4	0	0	0	0	0								4
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			6	4	0	0	0	2	39	46154	1	13	13	45900	-999999	46115	0	215	3	""	0	2	green_arrow.jpg	9	13	46167	-14	1279	7	47446	-8	1000	7	48446	-8	0	0	0	0	0								5
GAMBLING080212	112112_fnca	2	1	1	-1979774165	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	6662	-999999	6626	10653	10653	0	35	10688	-999999	10670	23402	23402	0	0	12	206943	2	206931	13	25	206956	-999999	206946	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			7	5	0	0	1	0	41	49885	3	14	14	49499	-999999	49839	0	340	2	""	0	1	red_arrow.jpg	6	14	49899	-15	1146	0	51045	-1	1013	13	52058	-14	0	0	0	0	0								6
