ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	LargerThanFive	SmallerThanFive	FontStyle	TrialsPerRun	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.StartTime	IntroButtonMap.OffsetTime	IntroButtonMap.FinishTime	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.StartTime	GetReady.OffsetTime	GetReady.FinishTime	GetReady.OnsetToOnsetTime	Number_of_NonResponses	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure[Block]	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running[Block]	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Block	Procedure[Trial]	Run1List	R1MostlyReward1	TrialType	Running[Trial]	Run1List.Cycle	Run1List.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSmallerGuesses	ConsecLargerGuesses	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	QuestionMark.OnsetDelay	QuestionMark.OnsetTime	QuestionMark.DurationError	QuestionMark.RTTime	QuestionMark.ACC	QuestionMark.RT	QuestionMark.RESP	QuestionMark.CRESP	QuestionMark.OnsetToOnsetTime	ConsecSameResp	FeedbackImage	FeedbackNumber	FillerFixation.OnsetDelay	FillerFixation.OnsetTime	FillerFixation.DurationError	FillerFixation.OnsetToOnsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.DurationError	Feedback.OnsetToOnsetTime	OneSecFixation.OnsetDelay	OneSecFixation.OnsetTime	OneSecFixation.DurationError	OneSecFixation.OnsetToOnsetTime	TooSlowFeedback.OnsetDelay	TooSlowFeedback.OnsetTime	TooSlowFeedback.DurationError	TooSlowFeedback.OnsetToOnsetTime	FifteenSecFixation.OnsetDelay	FifteenSecFixation.OnsetTime	FifteenSecFixation.DurationError	FifteenSecFixation.OnsetToOnsetTime	R1MostlyPunishment1	R1MostlyPunishment3	R1MostlyReward2	Trial
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0	1	InitialTR	4	1	1	ReadyList	14	21752	-15	23737	0					1																																																					
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0	2	InitialTR	3	1	2	ReadyList	14	23752	-15	25737	0					2																																																					
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0	3	InitialTR	2	1	3	ReadyList	13	25751	-14	27737	0					3																																																					
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0	4	InitialTR	1	1	4	ReadyList	12	27750	-13	29737	0					4																																																					
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			2	1	0	0	1	0	49	30429	3	14	27	29816	-999999	30377	0	561	2	""	0	1	red_arrow.jpg	9	14	30443	-15	932	7	31375	-8	1013	20	32388	-21	0	0	0	0	0								1
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			3	2	0	0	0	1	38	33694	3	14	14	33428	-999999	33650	0	222	3	""	0	1	red_arrow.jpg	2	14	33708	-15	1266	2	34974	-3	1013	15	35987	-16	0	0	0	0	0								2
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			4	3	0	0	1	0	49	37293	1	13	13	37026	-999999	37236	0	210	2	""	0	1	green_arrow.jpg	1	13	37306	-14	1280	3	38586	-4	1000	3	39586	-4	0	0	0	0	0								3
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			5	4	0	0	2	0	40	40918	1	14	13	40638	-999999	40864	0	226	2	""	0	2	red_arrow.jpg	8	14	40932	-15	1265	5	42197	-6	1000	5	43197	-6	0	0	0	0	0								4
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			6	5	0	0	3	0	47	44716	2	14	13	44250	-999999	44668	0	418	2	""	0	3	green_arrow.jpg	3	14	44730	-15	1079	11	45809	-12	1000	11	46809	-12	0	0	0	0	0								5
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			7	6	0	0	4	0	50	48182	1	13	14	47862	-999999	48127	0	265	2	""	0	4	red_arrow.jpg	8	13	48195	-14	1226	4	49421	-5	1000	4	50421	-5	0	0	0	0	0								6
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			8	7	0	0	0	1	39	51993	2	14	14	51474	-999999	51947	0	473	3	""	0	1	red_arrow.jpg	2	14	52007	-15	1013	0	53020	-1	1013	13	54033	-14	0	0	0	0	0								7
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			9	8	0	0	1	0	40	55379	1	13	13	55072	-999999	55325	0	253	2	""	0	1	red_arrow.jpg	7	13	55392	-14	1240	6	56632	-7	999	5	57631	-6	0	0	0	0	0								8
GAMBLING080212	165032_fnca	2	1	1	1460592049	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	62	9131	-999999	9095	10619	10619	0	32	10651	-999999	10634	21738	21738	0	1	16	205290	3	205274	14	30	205304	-999999	205293	0		Run2PROC				SessionSelectionList						3	2	2	1	5	FixationBlockPROC				Run2List																																									18	58644	-19	0				9
