ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	LargerThanFive	SmallerThanFive	FontStyle	TrialsPerRun	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.StartTime	IntroButtonMap.OffsetTime	IntroButtonMap.FinishTime	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.StartTime	GetReady.OffsetTime	GetReady.FinishTime	GetReady.OnsetToOnsetTime	Number_of_NonResponses	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure[Block]	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running[Block]	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Block	Procedure[Trial]	Run1List	R1MostlyReward1	TrialType	Running[Trial]	Run1List.Cycle	Run1List.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSmallerGuesses	ConsecLargerGuesses	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	QuestionMark.OnsetDelay	QuestionMark.OnsetTime	QuestionMark.DurationError	QuestionMark.RTTime	QuestionMark.ACC	QuestionMark.RT	QuestionMark.RESP	QuestionMark.CRESP	QuestionMark.OnsetToOnsetTime	ConsecSameResp	FeedbackImage	FeedbackNumber	FillerFixation.OnsetDelay	FillerFixation.OnsetTime	FillerFixation.DurationError	FillerFixation.OnsetToOnsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.DurationError	Feedback.OnsetToOnsetTime	OneSecFixation.OnsetDelay	OneSecFixation.OnsetTime	OneSecFixation.DurationError	OneSecFixation.OnsetToOnsetTime	TooSlowFeedback.OnsetDelay	TooSlowFeedback.OnsetTime	TooSlowFeedback.DurationError	TooSlowFeedback.OnsetToOnsetTime	FifteenSecFixation.OnsetDelay	FifteenSecFixation.OnsetTime	FifteenSecFixation.DurationError	FifteenSecFixation.OnsetToOnsetTime	R1MostlyPunishment1	R1MostlyPunishment3	R1MostlyReward2	Trial
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0	1	InitialTR	4	1	1	ReadyList	10	40504	-11	42493	0					1																																																					
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0	2	InitialTR	3	1	2	ReadyList	9	42503	-10	44493	0					2																																																					
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0	3	InitialTR	2	1	3	ReadyList	8	44502	-9	46493	0					3																																																					
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0	4	InitialTR	1	1	4	ReadyList	7	46501	-8	48493	0					4																																																					
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	1	Reward	Run1List	1	1	2	1	0	0	1	0	46	49260	3	14	40	48580	-999999	49207	0	627	2	""	0	1	green_arrow.jpg	4	14	49274	-15	866	7	50140	-8	1013	20	51153	-21	0	0	0	0	0								1
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	2	Reward	Run1List	1	2	3	2	0	0	0	1	43	53032	2	27	13	52192	-999999	52985	0	793	3	""	0	1	green_arrow.jpg	9	27	53059	-28	693	13	53752	-14	999	12	54751	-13	0	0	0	0	0								2
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	3	Punishment	Run1List	1	3	4	3	0	0	1	0	48	56297	3	14	14	55791	-999999	56243	0	452	2	""	0	1	red_arrow.jpg	6	14	56311	-15	1039	5	57350	-6	1000	5	58350	-6	0	0	0	0	0								3
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	4	Reward	Run1List	1	4	5	3	0	1	1	0	46	60949	2	13	14	59403	-1	0	1	0	""	""	1546	1			14	56311	-15	1039	5	57350	-6	1000	13	61962	-14	0	13	60962	-14	1000								4
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	5	Reward	Run1List	1	5	6	4	0	0	2	0	49	63428	2	13	13	63001	-999999	63368	0	367	2	""	0	2	green_arrow.jpg	4	13	63441	-14	1120	0	64561	-1	1013	13	65574	-14	0	13	60962	-14	1000								5
GAMBLING080212	580751_fnca	1	1	1	-630900939	1	75.032	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	57	5771	-999999	5735	27719	27719	0	30	27749	-999999	27732	40494	40494	0	1	6	223976	3	223970	14	20	223990	-999999	223979	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	6	Reward	Run1List	1	6	7	5	0	0	0	1	46	67106	2	14	13	66613	-999999	67050	0	437	3	""	0	1	green_arrow.jpg	7	14	67120	-15	1052	3	68172	-4	1000	3	69172	-4	0	13	60962	-14	1000								6
