ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	LargerThanFive	SmallerThanFive	FontStyle	TrialsPerRun	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.StartTime	IntroButtonMap.OffsetTime	IntroButtonMap.FinishTime	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.StartTime	GetReady.OffsetTime	GetReady.FinishTime	GetReady.OnsetToOnsetTime	Number_of_NonResponses	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure[Block]	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running[Block]	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Block	Procedure[Trial]	Run1List	R1MostlyReward1	TrialType	Running[Trial]	Run1List.Cycle	Run1List.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSmallerGuesses	ConsecLargerGuesses	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	QuestionMark.OnsetDelay	QuestionMark.OnsetTime	QuestionMark.DurationError	QuestionMark.RTTime	QuestionMark.ACC	QuestionMark.RT	QuestionMark.RESP	QuestionMark.CRESP	QuestionMark.OnsetToOnsetTime	ConsecSameResp	FeedbackImage	FeedbackNumber	FillerFixation.OnsetDelay	FillerFixation.OnsetTime	FillerFixation.DurationError	FillerFixation.OnsetToOnsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.DurationError	Feedback.OnsetToOnsetTime	OneSecFixation.OnsetDelay	OneSecFixation.OnsetTime	OneSecFixation.DurationError	OneSecFixation.OnsetToOnsetTime	TooSlowFeedback.OnsetDelay	TooSlowFeedback.OnsetTime	TooSlowFeedback.DurationError	TooSlowFeedback.OnsetToOnsetTime	FifteenSecFixation.OnsetDelay	FifteenSecFixation.OnsetTime	FifteenSecFixation.DurationError	FifteenSecFixation.OnsetToOnsetTime	R1MostlyPunishment1	R1MostlyPunishment3	R1MostlyReward2	Trial
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0	1	InitialTR	4	1	1	ReadyList	21	18333	-22	20311	0					1																																																					
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0	2	InitialTR	3	1	2	ReadyList	7	20319	-8	22311	0					2																																																					
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0	3	InitialTR	2	1	3	ReadyList	6	22318	-7	24311	0					3																																																					
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0	4	InitialTR	1	1	4	ReadyList	5	24317	-6	26311	0					4																																																					
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			2	1	0	0	0	1	52	26850	3	13	26	26383	-999999	26798	0	415	3	""	0	1	red_arrow.jpg	3	13	26863	-14	1080	8	27943	-9	1013	21	28956	-22	0	0	0	0	0								1
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			3	2	0	0	0	2	48	30622	2	13	13	29995	-999999	30561	0	566	3	""	0	2	red_arrow.jpg	1	13	30635	-14	933	12	31568	-13	1000	12	32568	-13	0	0	0	0	0								2
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			4	3	0	0	0	3	39	34513	2	14	13	33620	-999999	34464	0	844	3	""	0	3	green_arrow.jpg	6	14	34527	-15	653	11	35180	-12	999	10	36179	-11	0	0	0	0	0								3
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			5	4	0	0	1	0	49	37845	3	14	13	37232	-999999	37787	0	555	2	""	0	1	red_arrow.jpg	6	14	37859	-15	933	2	38792	-3	1013	15	39805	-16	0	0	0	0	0								4
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Reward	Run2List			6	5	0	0	2	0	39	41564	2	13	13	40844	-999999	41519	0	675	2	""	0	2	green_arrow.jpg	4	13	41577	-14	813	1	42390	-2	1013	14	43403	-15	0	0	0	0	0								5
GAMBLING080212	207426_fnca	2	1	1	1160972313	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	58	5685	-999999	5649	5984	5984	0	34	6018	-999999	6000	18312	18312	0	0	8	201806	3	201798	14	22	201820	-999999	201809	0		Run2PROC				SessionSelectionList						3	2	2	1	5	GamblingTrialPROC			Punishment	Run2List			7	6	0	0	3	0	46	44909	3	14	14	44443	-999999	44861	0	418	2	""	0	3	red_arrow.jpg	9	14	44923	-15	1079	11	46002	-12	1000	11	47002	-12	0	0	0	0	0								6
