ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	LargerThanFive	SmallerThanFive	FontStyle	TrialsPerRun	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.StartTime	IntroButtonMap.OffsetTime	IntroButtonMap.FinishTime	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.StartTime	GetReady.OffsetTime	GetReady.FinishTime	GetReady.OnsetToOnsetTime	Number_of_NonResponses	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure[Block]	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running[Block]	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Block	Procedure[Trial]	Run1List	R1MostlyReward1	TrialType	Running[Trial]	Run1List.Cycle	Run1List.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSmallerGuesses	ConsecLargerGuesses	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	QuestionMark.OnsetDelay	QuestionMark.OnsetTime	QuestionMark.DurationError	QuestionMark.RTTime	QuestionMark.ACC	QuestionMark.RT	QuestionMark.RESP	QuestionMark.CRESP	QuestionMark.OnsetToOnsetTime	ConsecSameResp	FeedbackImage	FeedbackNumber	FillerFixation.OnsetDelay	FillerFixation.OnsetTime	FillerFixation.DurationError	FillerFixation.OnsetToOnsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.DurationError	Feedback.OnsetToOnsetTime	OneSecFixation.OnsetDelay	OneSecFixation.OnsetTime	OneSecFixation.DurationError	OneSecFixation.OnsetToOnsetTime	TooSlowFeedback.OnsetDelay	TooSlowFeedback.OnsetTime	TooSlowFeedback.DurationError	TooSlowFeedback.OnsetToOnsetTime	FifteenSecFixation.OnsetDelay	FifteenSecFixation.OnsetTime	FifteenSecFixation.DurationError	FifteenSecFixation.OnsetToOnsetTime	R1MostlyPunishment1	R1MostlyPunishment3	R1MostlyReward2	Trial
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0	1	InitialTR	4	1	1	ReadyList	13	40013	-14	41999	0					1																																																					
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0	2	InitialTR	3	1	2	ReadyList	12	42012	-13	43999	0					2																																																					
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0	3	InitialTR	2	1	3	ReadyList	11	44011	-12	45999	0					3																																																					
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0	4	InitialTR	1	1	4	ReadyList	10	46010	-11	47999	0					4																																																					
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	1	Reward	Run1List	1	1	2	1	0	0	1	0	52	48476	3	14	26	48076	-999999	48420	0	344	2	""	0	1	green_arrow.jpg	1	14	48490	-15	1146	4	49636	-5	1013	17	50649	-18	0	0	0	0	0								1
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	2	Reward	Run1List	1	2	3	2	0	0	0	1	51	52048	1	13	13	51688	-999999	51994	0	306	3	""	0	1	green_arrow.jpg	6	13	52061	-14	1187	6	53248	-7	999	5	54247	-6	0	0	0	0	0								2
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	3	Punishment	Run1List	1	3	4	3	0	0	1	0	45	55567	1	13	13	55300	-999999	55511	0	211	2	""	0	1	red_arrow.jpg	6	13	55580	-14	1279	3	56859	-4	1000	3	57859	-4	0	0	0	0	0								3
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	4	Reward	Run1List	1	4	5	4	0	0	2	0	39	59165	2	14	13	58912	-999999	59123	0	211	2	""	0	2	green_arrow.jpg	1	14	59179	-15	1279	4	60458	-5	1000	4	61458	-5	0	0	0	0	0								4
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	5	Reward	Run1List	1	5	6	5	0	0	0	1	41	63457	1	13	14	62511	-999999	63404	0	893	3	""	0	1	green_arrow.jpg	9	13	63470	-14	600	6	64070	-7	1000	6	65070	-7	0	0	0	0	0								5
GAMBLING080212	169545_fnca	1	1	1	-1324160004	1	75.030	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	5173	-999999	5137	27449	27449	0	36	27485	-999999	27468	40000	40000	0	0	10	223540	3	223530	14	24	223554	-999999	223543	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	6	Reward	Run1List	1	6	7	6	0	0	0	2	52	66416	1	13	13	66122	-999999	66358	0	236	3	""	0	2	green_arrow.jpg	7	13	66429	-14	1253	2	67682	-3	1013	15	68695	-16	0	0	0	0	0								6
