ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	LargerThanFive	SmallerThanFive	FontStyle	TrialsPerRun	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.StartTime	IntroButtonMap.OffsetTime	IntroButtonMap.FinishTime	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.StartTime	GetReady.OffsetTime	GetReady.FinishTime	GetReady.OnsetToOnsetTime	Number_of_NonResponses	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure[Block]	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running[Block]	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Block	Procedure[Trial]	Run1List	R1MostlyReward1	TrialType	Running[Trial]	Run1List.Cycle	Run1List.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSmallerGuesses	ConsecLargerGuesses	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	QuestionMark.OnsetDelay	QuestionMark.OnsetTime	QuestionMark.DurationError	QuestionMark.RTTime	QuestionMark.ACC	QuestionMark.RT	QuestionMark.RESP	QuestionMark.CRESP	QuestionMark.OnsetToOnsetTime	ConsecSameResp	FeedbackImage	FeedbackNumber	FillerFixation.OnsetDelay	FillerFixation.OnsetTime	FillerFixation.DurationError	FillerFixation.OnsetToOnsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.DurationError	Feedback.OnsetToOnsetTime	OneSecFixation.OnsetDelay	OneSecFixation.OnsetTime	OneSecFixation.DurationError	OneSecFixation.OnsetToOnsetTime	TooSlowFeedback.OnsetDelay	TooSlowFeedback.OnsetTime	TooSlowFeedback.DurationError	TooSlowFeedback.OnsetToOnsetTime	FifteenSecFixation.OnsetDelay	FifteenSecFixation.OnsetTime	FifteenSecFixation.DurationError	FifteenSecFixation.OnsetToOnsetTime	R1MostlyPunishment1	R1MostlyPunishment3	R1MostlyReward2	Trial
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0	1	InitialTR	4	1	1	ReadyList	11	43779	-12	45767	0					1																																																					
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0	2	InitialTR	3	1	2	ReadyList	10	45778	-11	47767	0					2																																																					
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0	3	InitialTR	2	1	3	ReadyList	9	47777	-10	49767	0					3																																																					
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0	4	InitialTR	1	1	4	ReadyList	8	49776	-9	51767	0					4																																																					
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	1	Reward	Run1List	1	1	2	1	0	0	1	0	53	52682	3	14	26	51842	-999999	52623	0	781	2	""	0	1	green_arrow.jpg	1	14	52696	-15	706	1	53402	-2	1013	14	54415	-15	0	0	0	0	0								1
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	2	Reward	Run1List	1	2	3	2	0	0	2	0	46	56200	3	15	13	55467	-999999	56148	0	681	2	""	0	2	green_arrow.jpg	2	15	56215	-16	812	8	57027	-9	1000	8	58027	-9	0	0	0	0	0								2
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	3	Punishment	Run1List	1	3	4	3	0	0	3	0	49	59652	2	14	13	59079	-999999	59590	0	511	2	""	0	3	red_arrow.jpg	8	14	59666	-15	986	11	60652	-12	1000	11	61652	-12	0	0	0	0	0								3
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	4	Reward	Run1List	1	4	5	4	0	0	4	0	50	63131	1	14	13	62704	-999999	63075	0	371	2	""	0	4	green_arrow.jpg	1	14	63145	-15	1119	4	64264	-5	1000	4	65264	-5	0	0	0	0	0								4
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	5	Reward	Run1List	1	5	6	5	0	0	5	0	39	66863	2	13	13	66316	-999999	66820	0	504	2	""	0	5	green_arrow.jpg	1	13	66876	-14	986	3	67862	-4	1000	3	68862	-4	0	0	0	0	0								5
GAMBLING080212	198855_fnca	1	1	1	-529877703	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.254	7	234	3	2	Verdana	32	GAMBLING Stimuli\	59	4915	-999999	4879	30743	30743	0	28	30771	-999999	30754	43768	43768	0	0	17	227357	2	227340	13	30	227370	-999999	227360	0		Run1PROC				SessionSelectionList						2	1	2	1	5	GamblingTrialPROC	1	6	Reward	Run1List	1	6	7	6	0	0	6	0	42	70501	2	14	13	69915	-999999	70453	0	538	2	""	0	6	green_arrow.jpg	4	14	70515	-15	959	11	71474	-12	1000	11	72474	-12	0	0	0	0	0								6
